"","competition_id","season_id","country_name","competition_name","competition_gender","competition_youth","competition_international","season_name","match_updated","match_updated_360","match_available_360","match_available"
"1",16,4,"Europe","Champions League","male",FALSE,FALSE,"2018/2019","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2021-07-09T14:06:05.802"
"2",16,1,"Europe","Champions League","male",FALSE,FALSE,"2017/2018","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2021-01-23T21:55:30.425330"
"3",16,2,"Europe","Champions League","male",FALSE,FALSE,"2016/2017","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"4",16,27,"Europe","Champions League","male",FALSE,FALSE,"2015/2016","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"5",16,26,"Europe","Champions League","male",FALSE,FALSE,"2014/2015","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"6",16,25,"Europe","Champions League","male",FALSE,FALSE,"2013/2014","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"7",16,24,"Europe","Champions League","male",FALSE,FALSE,"2012/2013","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2021-07-10T13:41:45.751"
"8",16,23,"Europe","Champions League","male",FALSE,FALSE,"2011/2012","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"9",16,22,"Europe","Champions League","male",FALSE,FALSE,"2010/2011","2022-01-26T21:07:11.033473","2021-06-13T16:17:31.694",NA,"2022-01-26T21:07:11.033473"
"10",16,21,"Europe","Champions League","male",FALSE,FALSE,"2009/2010","2022-02-12T16:13:49.294747","2021-06-13T16:17:31.694",NA,"2022-02-12T16:13:49.294747"
"11",16,41,"Europe","Champions League","male",FALSE,FALSE,"2008/2009","2021-11-07T14:20:01.699993","2021-06-13T16:17:31.694",NA,"2021-11-07T14:20:01.699993"
"12",16,39,"Europe","Champions League","male",FALSE,FALSE,"2006/2007","2021-03-31T04:18:30.437060","2021-06-13T16:17:31.694",NA,"2021-03-31T04:18:30.437060"
"13",16,37,"Europe","Champions League","male",FALSE,FALSE,"2004/2005","2021-04-01T06:18:57.459032","2021-06-13T16:17:31.694",NA,"2021-04-01T06:18:57.459032"
"14",16,44,"Europe","Champions League","male",FALSE,FALSE,"2003/2004","2021-04-01T00:34:59.472485","2021-06-13T16:17:31.694",NA,"2021-04-01T00:34:59.472485"
"15",16,76,"Europe","Champions League","male",FALSE,FALSE,"1999/2000","2020-07-29T05:00","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"16",37,90,"England","FA Women's Super League","female",FALSE,FALSE,"2020/2021","2021-07-01T18:14:40.756","2021-06-13T16:17:31.694",NA,"2021-07-01T18:14:40.756"
"17",37,42,"England","FA Women's Super League","female",FALSE,FALSE,"2019/2020","2021-06-01T13:01:18.188","2021-06-13T16:17:31.694",NA,"2021-06-01T13:01:18.188"
"18",37,4,"England","FA Women's Super League","female",FALSE,FALSE,"2018/2019","2022-05-27T12:02:24.272045","2021-06-13T16:17:31.694",NA,"2022-05-27T12:02:24.272045"
"19",43,3,"International","FIFA World Cup","male",FALSE,TRUE,"2018","2021-12-06T23:11:59.985953","2021-06-13T16:17:31.694",NA,"2021-12-06T23:11:59.985953"
"20",11,90,"Spain","La Liga","male",FALSE,FALSE,"2020/2021","2022-02-11T14:56:09.076","2021-10-30T04:19:36.116600","2021-09-17T15:18:33.787790","2022-02-11T14:56:09.076"
"21",11,42,"Spain","La Liga","male",FALSE,FALSE,"2019/2020","2021-06-15T15:35:02.673","2021-06-13T16:17:31.694",NA,"2021-06-15T15:35:02.673"
"22",11,4,"Spain","La Liga","male",FALSE,FALSE,"2018/2019","2021-11-02T17:53:14.529952","2021-07-09T14:53:22.103024",NA,"2021-11-02T17:53:14.529952"
"23",11,1,"Spain","La Liga","male",FALSE,FALSE,"2017/2018","2022-05-08T19:11:07.806019","2021-06-13T16:17:31.694",NA,"2022-05-08T19:11:07.806019"
"24",11,2,"Spain","La Liga","male",FALSE,FALSE,"2016/2017","2022-01-25T22:51:59.353598","2021-06-13T16:17:31.694",NA,"2022-01-25T22:51:59.353598"
"25",11,27,"Spain","La Liga","male",FALSE,FALSE,"2015/2016","2022-05-25T14:00:13.468337","2021-06-13T16:17:31.694",NA,"2022-05-25T14:00:13.468337"
"26",11,26,"Spain","La Liga","male",FALSE,FALSE,"2014/2015","2020-07-29T05:00","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"27",11,25,"Spain","La Liga","male",FALSE,FALSE,"2013/2014","2020-07-29T05:00","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"28",11,24,"Spain","La Liga","male",FALSE,FALSE,"2012/2013","2021-10-27T15:44:43.940862","2021-06-13T16:17:31.694",NA,"2021-10-27T15:44:43.940862"
"29",11,23,"Spain","La Liga","male",FALSE,FALSE,"2011/2012","2020-07-29T05:00","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"30",11,22,"Spain","La Liga","male",FALSE,FALSE,"2010/2011","2021-11-11T22:57:42.361902","2021-06-13T16:17:31.694",NA,"2021-11-11T22:57:42.361902"
"31",11,21,"Spain","La Liga","male",FALSE,FALSE,"2009/2010","2021-10-26T13:56:40.989214","2021-06-13T16:17:31.694",NA,"2021-10-26T13:56:40.989214"
"32",11,41,"Spain","La Liga","male",FALSE,FALSE,"2008/2009","2020-07-29T05:00","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"33",11,40,"Spain","La Liga","male",FALSE,FALSE,"2007/2008","2021-10-26T13:13:56.180589","2021-06-13T16:17:31.694",NA,"2021-10-26T13:13:56.180589"
"34",11,39,"Spain","La Liga","male",FALSE,FALSE,"2006/2007","2020-07-29T05:00","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"35",11,38,"Spain","La Liga","male",FALSE,FALSE,"2005/2006","2021-11-28T23:00:27.747396","2021-06-13T16:17:31.694",NA,"2021-11-28T23:00:27.747396"
"36",11,37,"Spain","La Liga","male",FALSE,FALSE,"2004/2005","2020-07-29T05:00","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"37",49,3,"United States of America","NWSL","female",FALSE,FALSE,"2018","2021-11-06T05:53:29.435016","2021-06-13T16:17:31.694",NA,"2021-11-06T05:53:29.435016"
"38",2,44,"England","Premier League","male",FALSE,FALSE,"2003/2004","2021-11-14T22:29:00.646120","2021-06-13T16:17:31.694",NA,"2021-11-14T22:29:00.646120"
"39",55,43,"Europe","UEFA Euro","male",FALSE,TRUE,"2020","2022-02-01T17:20:34.319496","2021-11-11T13:54:37.507376","2021-11-11T13:54:37.507376","2022-02-01T17:20:34.319496"
"40",72,30,"International","Women's World Cup","female",FALSE,TRUE,"2019","2020-07-29T05:00","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
